# BEAST v1.6.1, Build r3651
# Generated Tue Jul 07 15:42:21 GMT-03:00 2015 [seed=1436294503850]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(mrca1)	tmrca(mrca2)	tmrca(mrca3)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	gene1.ac	gene1.ag	gene1.at	gene1.cg	gene1.gt	gene1.frequencies1	gene1.frequencies2	gene1.frequencies3	gene1.frequencies4	gene1.alpha	gene2.ac	gene2.ag	gene2.at	gene2.cg	gene2.gt	gene2.frequencies1	gene2.frequencies2	gene2.frequencies3	gene2.frequencies4	gene2.alpha	gene1.ucld.mean	gene1.ucld.stdev	gene2.ucld.mean	gene2.ucld.stdev	gene1.meanRate	gene1.coefficientOfVariation	gene1.covariance	gene2.meanRate	gene2.coefficientOfVariation	gene2.covariance	gene1.treeLikelihood	gene2.treeLikelihood	speciation
120000	-5910.666598276422	-110.01640295123184	-5800.65019532519	128.7009576106333	105.94220467325374	80.5103881208364	26.34854445492778	0.0163192631115628	0.5429849385325526	1.2497401080457984	4.553661669687652	2.6165960124910126	5.5993423487452825	2.739259167697879	0.2504049461790095	0.2670896147437814	0.28520430243155415	0.19730113664565482	0.8525771250789558	1.0048048866110522	1.4449470900341579	1.5727156566082259	1.7766764989828792	1.8262579685877185	0.29666166564213786	0.23682750905852987	0.19923931557432728	0.2672715097250052	1.2253445899237816	0.003862039965487881	0.4377851363767976	0.0029651320496121704	0.0849481047818334	0.003494341302336987	0.3532226315047395	0.1843301002013622	0.0029806602641448345	0.08402555708886378	0.07954111522000695	-2800.6950959508167	-2999.955099374373	-46.100532557094525
130000	-5905.858665926878	-108.93107879416911	-5796.927587132708	135.2200674886987	120.24389650213463	82.65508563570832	31.468540554474224	0.011933930826059808	0.32133257453423697	1.0319115669598842	2.9884607283565017	2.853542570983457	4.238176688715557	2.864265975221564	0.26225319792873414	0.2670896147437814	0.2807035486198755	0.18995363870760884	0.7649957217678672	0.9046139840291119	1.2648652044288566	1.7082315642235335	1.7503747728564312	1.9122709447455517	0.3064967514171725	0.23682750905852987	0.19009698631771396	0.2665787532065839	1.0232857751307203	0.002727802215420346	0.3464235861307467	0.003150131497069961	0.023874533633564274	0.0027509515650122854	0.2819282707085153	0.12395894227977373	0.003101868120476491	0.023199408600176222	-0.34864192055386384	-2797.1803381930363	-2999.7472489396714	-46.45438456925798
140000	-5907.831689839285	-111.99902230688876	-5795.832667532396	150.17570346152547	117.0608600901918	95.88400724332817	28.343370523756914	0.008894970134590261	0.5586073947770742	1.5830525414932886	2.989532992651109	2.708554223860603	5.479454522165657	2.6406873700981643	0.25976650881027863	0.27010797881470294	0.28350762899946036	0.18661788337555799	0.7052568794749469	0.9133352494723183	1.7350340494478418	1.4859322803442239	1.6344447470072134	1.639626680687474	0.30346460588304625	0.23725478644918893	0.19765905388448826	0.2616215537832768	0.8905515995745642	0.003042856942770488	0.4602529004049426	0.0030884742979090047	0.2975374557792677	0.002815795517228137	0.3844846321711666	-0.006825505679564403	0.0026905327556412356	0.20235158076643084	-0.06474221228891987	-2796.0755758747664	-2999.7570916576296	-46.85005323798673
150000	-5908.621853044738	-110.75557021904699	-5797.866282825691	126.32062374296548	111.81670525934493	67.98181911280241	34.58494805887224	0.009034541769124311	0.18108484959998045	1.3467528448897517	3.6670523902122896	2.614790658488758	5.152684759946146	2.344008244318167	0.26944420283404685	0.2708080723770337	0.2731298414133614	0.18661788337555799	0.8129970887037391	0.9321869364382508	1.7108626018253947	1.7286926756273089	1.7513749754882961	1.8080922323872362	0.3076468194491006	0.23725478644918893	0.19271702460838083	0.26238136949332985	0.9775643823190773	0.003025800499365899	0.35504320898096126	0.00283429790653302	0.34094264411388087	0.002687719782611273	0.28411187740611854	0.03928364529630002	0.0032442677247846376	0.2655911361420175	-0.1667810817975348	-2799.9336554437245	-2997.932627381966	-46.782149879006475
160000	-5914.409732209837	-109.40731980787734	-5805.002412401959	134.56114577561746	118.06441604595305	76.04543475659493	26.45960977566312	0.015028041507542552	0.6001390250200027	1.0513273004465082	3.2251792792280782	3.306009568955604	3.466347534227754	2.9750624341874454	0.24861489884166152	0.2817396555576657	0.2782771247130761	0.19136832088759662	1.063566055284602	0.6429854525142727	1.8504817527476196	1.452383995979862	1.839756845654256	1.750342260496944	0.29991270776614953	0.23395670834630325	0.1879988947663617	0.2781316891211858	0.9550697924864188	0.0026464451903921624	0.42408212384993155	0.003234678988377475	0.2636690029950404	0.002671215730009045	0.24852933607209546	-0.16491291717047635	0.0030778000180811753	0.20737308744743488	0.03395005845836099	-2802.6939225349947	-3002.3084898669645	-46.46185614518478
170000	-5912.671935763732	-109.28950333923677	-5803.382432424495	127.24286130995964	118.75468964793417	72.85959358545794	36.266988970224524	0.007186796003459223	0.7932738248895672	1.1027292775812996	3.1833241071498852	2.2627397894448826	4.308608178931449	2.0334404115703046	0.23014953816808284	0.28860090775446273	0.28965958197680647	0.19158997210064788	1.235326464075906	0.9607780924042503	1.6795679712238631	1.854862234239855	1.7868123072355004	2.79284911934525	0.30906956678903863	0.24148213693602624	0.1804734661766387	0.2689748300982967	1.1535235235047807	0.0029373888748308453	0.3400880011505953	0.003192008941568231	0.04690876756366933	0.0027243777948300517	0.28073643687862543	0.12151963854202967	0.0032147998704985113	0.041967610840037875	-0.16323189857496176	-2797.5436875444734	-3005.8387448800217	-46.21455478011355
180000	-5908.416396030072	-110.9363464379515	-5797.480049592121	137.39486849448622	118.939948330391	82.60038727232643	29.578078062960607	0.007770863863625398	0.5040598239146693	1.0940990265313157	3.3250788633789874	3.639620199914504	4.179642347950661	2.654634421208955	0.229142273251365	0.2931228374599335	0.29326403416357666	0.18447085512512476	1.235326464075906	1.1865883802427843	2.2464378424902045	1.9162669294031935	2.0986498361144794	2.6001050088599973	0.30906956678903863	0.24780961903100865	0.17792178053716987	0.2651990336427831	0.8880147948141515	0.0030356292568453546	0.2690575224770488	0.0031354232502822134	0.14003954935773777	0.002875871526283752	0.24777185843750937	0.21183511142325434	0.003093146747991783	0.11179957015222246	-0.1618380365691783	-2799.7616825366695	-2997.718367055452	-46.51351495028485
190000	-5914.0548121983975	-113.80171422734871	-5800.253097971049	144.5614227428013	123.97960262939306	100.78864421969055	29.875754520460696	0.006690049135241087	0.8042238818765581	1.284803811906723	3.732966574573423	3.3993152777805	4.758024176413525	2.708473215356461	0.22564011208706283	0.29012244000639004	0.2967661953278788	0.18747125257866817	1.038742220512246	1.4877311142565863	2.549761545007209	1.948930358756649	2.495513707826666	2.681306916319863	0.3129124497030672	0.2415790368791747	0.18605361777882376	0.25945489563893465	0.8392867941961475	0.0026902555179235585	0.33089429864193926	0.0024468309151040707	0.10947073457240507	0.00239630908804761	0.2435896932671855	0.18600632066166736	0.0025423539385832136	0.08350568646829695	-0.1537927496681657	-2797.1979809711593	-3003.05511699989	-47.15170665201347
200000	-5908.039687743032	-111.80043496714637	-5796.239252775886	129.30793892547842	110.0250269149944	81.3892301073676	32.8265560801179	0.005602189249513596	0.7721449151294527	1.234828377871693	2.995052081440764	3.894962765785607	3.81521916362685	2.0348144310113296	0.23112113693733238	0.2833194237963252	0.29128517047760927	0.194274268788733	1.0579043490163422	1.515984274880308	2.336082392161144	2.5617218734385196	3.266691582662354	2.760187255136836	0.29792807303302793	0.23887211090724708	0.18243133022012276	0.2807684858396025	0.8232532769519392	0.002647473006330475	0.30891844533747453	0.0032432240647915084	0.20842847164159403	0.002656859489778514	0.28196714091673303	0.19818071332609277	0.0031675466271477402	0.14477656531041427	-0.157268748699086	-2797.573042131024	-2998.666210644862	-45.948527554885864
210000	-5913.044410889531	-112.5836017119116	-5800.460809177619	135.62576694340757	105.84197755884868	62.18875035174939	14.77825265847849	0.016861365626136333	0.7102806175137687	1.2373702477112973	3.8224883698847787	2.932800664953403	4.611865925348553	2.482807873000422	0.22877579446459712	0.2876053840383412	0.29232512707250435	0.19129369442455718	1.042591347095124	1.5794121336446183	2.6232598405652383	3.0829643432839946	2.772815943820085	3.0313041866451726	0.3089571400965135	0.24934620385795106	0.18049635203255923	0.2612003040129765	0.7239393297093437	0.003474736113946208	0.5759620027457771	0.005120847867519675	0.4984855902893874	0.002860909751814867	0.4959960347423621	-0.07737412463024926	0.0036989813773028275	0.36927552937582	0.1286697442939605	-2796.348221676824	-3004.1125875007956	-45.9740038822103
